ck,gk,name,bdate,ms,gender,income,childrenhome,occ,hof,nco,addr1,addr2,phone,datefirstpuchase,datelastpurchase
11000,26,Jon Yang,1986-04-08,M,M,90000,0,Professional,1,0,3761 N. 14th St,,1 (11) 500 555-0162,22/07/2016,04/11/2023
11001,37,Eugene Huang,1985-05-14,S,M,60000,3,Professional,0,1,2243 W St.,,1 (11) 500 555-0110,18/07/2016,12/06/2024
11002,31,Ruben Torres,1985-08-12,M,M,60000,3,Professional,1,1,5844 Linden Land,,1 (11) 500 555-0184,10/07/2016,27/08/2023
11003,11,Christy Zhu,1988-02-15,S,F,70000,0,Professional,0,1,1825 Village Pl.,,1 (11) 500 555-0162,01/07/2016,11/11/2023
11004,19,Elizabeth Johnson,1988-08-08,S,F,80000,5,Professional,1,4,7553 Harness Circle,,1 (11) 500 555-0131,26/07/2016,02/11/2023
11005,22,Julio Ruiz,1985-08-05,S,M,70000,0,Professional,1,1,7305 Humphrey Drive,,1 (11) 500 555-0151,02/07/2016,03/11/2023
11006,8,Janet Alvarez,1985-12-06,S,F,70000,0,Professional,1,1,2612 Berry Dr,,1 (11) 500 555-0184,27/07/2016,15/11/2023
11007,40,Marco Mehta,1984-05-09,M,M,60000,3,Professional,1,2,942 Brook Street,,1 (11) 500 555-0126,12/07/2016,20/09/2023
11008,32,Rob Verhoff,1984-07-07,S,F,60000,4,Professional,1,3,624 Peabody Road,,1 (11) 500 555-0164,28/07/2016,03/09/2023
11009,25,Shannon Carlson,1984-04-01,S,M,70000,0,Professional,0,1,3839 Northgate Road,,1 (11) 500 555-0110,30/07/2016,10/11/2023
11010,22,Jacquelyn Suarez,1984-02-06,S,F,70000,0,Professional,0,1,7800 Corrinne Court,,1 (11) 500 555-0169,17/07/2016,24/11/2023
11011,22,Curtis Lu,1983-11-04,M,M,60000,4,Professional,1,4,1224 Shoenic,,1 (11) 500 555-0117,02/07/2016,20/09/2023
11012,611,Lauren Walker,1988-01-18,M,F,100000,0,Management,1,2,4785 Scott Street,,717-555-0164,17/09/2018,17/04/2024
11013,543,Ian Jenkins,1988-08-06,M,M,100000,0,Management,1,3,7902 Hudson Ave.,,817-555-0185,15/10/2018,24/07/2024
11014,634,Sydney Bennett,1988-05-09,S,F,100000,0,Management,0,3,9011 Tank Drive,,431-555-0156,24/09/2018,01/11/2023
11015,301,Chloe Young,1999-02-27,S,F,30000,0,Skilled Manual,0,1,244 Willow Pass Road,,208-555-0142,22/07/2018,22/07/2023
11016,329,Wyatt Hill,1999-04-28,M,M,30000,0,Skilled Manual,1,1,9666 Northridge Ct.,,135-555-0171,13/08/2018,13/08/2023
11017,39,Shannon Wang,1964-06-26,S,F,20000,0,Skilled Manual,1,2,7330 Saddlehill Lane,,1 (11) 500 555-0195,15/07/2016,16/04/2024
11018,32,Clarence Rai,1964-10-09,S,M,30000,0,Clerical,1,2,244 Rivewview,,1 (11) 500 555-0137,20/07/2016,26/04/2024
11019,52,Luke Lal,1998-03-07,S,M,40000,0,Skilled Manual,0,2,7832 Landing Dr,,262-555-0112,16/08/2018,15/07/2024
11020,53,Jordan King,1998-09-20,S,M,40000,0,Skilled Manual,0,2,7156 Rose Dr.,,550-555-0163,02/07/2018,02/07/2023
11021,536,Destiny Wilson,1998-09-03,S,F,40000,0,Skilled Manual,0,1,8148 W. Lake Dr.,,622-555-0158,27/07/2018,27/07/2023
11022,609,Ethan Zhang,1998-10-12,M,M,40000,0,Skilled Manual,1,1,1769 Nicholas Drive,,589-555-0185,24/07/2018,24/07/2023
11023,298,Seth Edwards,1998-10-11,M,M,40000,0,Skilled Manual,1,1,4499 Valley Crest,,452-555-0188,21/08/2018,17/07/2024
11024,311,Russell Xie,1998-09-17,M,M,60000,0,Skilled Manual,1,2,8734 Oxford Place,,746-555-0186,29/12/2018,27/01/2024
11025,24,Alejandro Beck,1965-12-23,M,M,10000,1,Clerical,1,2,2596 Franklin Canyon Road,,1 (11) 500 555-0178,09/07/2016,27/04/2024
11026,4,Harold Sai,1966-04-03,S,M,30000,0,Clerical,0,2,8211 Leeds Ct.,,1 (11) 500 555-0131,26/07/2016,17/04/2024
11027,40,Jessie Zhao,1966-12-07,M,M,30000,0,Clerical,1,2,213 Valencia Place,,1 (11) 500 555-0184,19/07/2016,26/04/2024
