ck,gk,name,bdate,ms,gender,income,childrenhome,occ,hof,nco,addr1,addr2,phone,datefirstpuchase,datelastpurchase
11000,26,Jon Yang,1986-04-08,M,M,110000,0,Professional,1,0,3761 N. 14th St,,1 (11) 500 555-0162,22/07/2016 00:00,04/11/2023
11001,37,Eugene Huang,1985-05-14,S,M,60000,4,Professional,0,1,1111 Kaski Lane,,1 (11) 500 555-0110,18/07/2016 00:00,12/06/2024
11188,361,Catherine Morris,1964-09-06,M,F,60000,0,Management,0,2,6542 Stonewood Drive,,795-555-0117,04/05/2019 00:00,24/07/2024
11219,553,Charles Cook,1970-12-02,M,M,60000,1,Professional,1,2,6871 Bel Air Dr.,,755-555-0111,01/05/2019 00:00,27/07/2024
11222,369,Alexandra Rivera,1970-08-17,M,F,80000,1,Management,1,1,4999 Corte Segunda,,488-555-0143,04/05/2019 00:00,31/05/2024
11254,612,Johnathan Vance,1953-03-03,M,M,70000,0,Management,1,2,9430 Versailles Pl,,494-555-0166,26/05/2019 00:00,16/06/2024
11371,26,Lacey Jai,1998-05-27,M,F,20000,0,Clerical,1,0,6208 Prestwick Dr.,,1 (11) 500 555-0149,10/05/2019 00:00,30/06/2024
11386,127,Jaclyn Cai,1980-11-05,M,F,30000,0,Clerical,1,0,Postfach 55 00 00,,1 (11) 500 555-0164,05/05/2019 00:00,05/05/2024
11389,130,Karl Shan,1990-04-24,S,M,10000,1,Manual,0,1,Nollendorfplatz 48,,1 (11) 500 555-0198,20/05/2019 00:00,20/05/2024
11390,208,Christine Raji,1990-10-19,S,F,10000,1,Manual,0,1,"11, boulevard Tremblay",,1 (11) 500 555-0153,10/05/2019 00:00,10/05/2024
11476,241,Erika Navarro,1994-11-17,M,F,40000,1,Skilled Manual,1,0,37 Amaranth Way,,1 (11) 500 555-0145,04/05/2019 00:00,04/05/2024
11486,117,Ariana Rogers,1991-05-25,S,F,10000,0,Manual,1,2,Königstr 381,,1 (11) 500 555-0118,27/05/2019 00:00,27/05/2024
11497,261,Katrina Nath,1990-11-26,S,F,40000,2,Clerical,1,2,8874 Folson Drive,,1 (11) 500 555-0154,07/05/2019 00:00,07/05/2024
11569,274,Troy Malhotra,1986-05-10,M,M,30000,1,Clerical,1,1,1629 Queens Road,,1 (11) 500 555-0125,23/05/2019 00:00,23/05/2024
11633,612,Thomas Anderson,1992-05-26,M,M,40000,1,Skilled Manual,1,0,8307 Monument Blvd.,,315-555-0121,16/05/2019 00:00,17/07/2024
11639,339,Angelica Perry,1992-12-23,M,F,70000,0,Professional,1,0,4059 High Street,,936-555-0157,12/05/2019 00:00,11/07/2024
11645,548,Gabriella Turner,1989-10-19,S,F,40000,2,Skilled Manual,1,0,9976 Manila Avenue,,131-555-0142,13/05/2019 00:00,06/07/2024
11710,331,Zoe Ramirez,1982-03-20,M,F,40000,2,Skilled Manual,1,2,8085 Grasswood Ct,,712-555-0144,26/05/2019 00:00,14/06/2024
11794,334,Lauren Ross,1989-11-01,S,F,40000,2,Skilled Manual,1,0,5375 Clearland Circle,,143-555-0123,31/05/2019 00:00,31/07/2024
11849,331,Faith Reed,1984-09-13,S,F,50000,2,Skilled Manual,1,2,2751 Trail Way,Unit B,727-555-0162,30/05/2019 00:00,14/07/2024
11966,32,Rafael Black,1976-02-17,S,M,70000,0,Skilled Manual,1,2,1730 D Reliez Valley Ct.,,1 (11) 500 555-0147,04/05/2019 00:00,20/06/2024
11972,614,Katherine Williams,1994-03-23,M,F,60000,0,Professional,0,2,927 Live Oak Ave.,,351-555-0197,12/05/2019 00:00,24/06/2024
11974,299,Randy Sun,1994-02-07,S,M,60000,0,Professional,0,2,8540 Ravenwood Dr.,,156-555-0147,02/05/2019 00:00,07/06/2024
12031,49,Logan Jai,1999-10-19,S,M,30000,0,Clerical,0,2,6857 La Salle Ct,,720-555-0114,09/05/2019 00:00,09/05/2024
12044,337,Madeline Lopez,1994-05-27,S,F,40000,0,Skilled Manual,1,1,9687 Maywood Ln.,,501-555-0149,21/05/2019 00:00,03/06/2024
12070,300,Luke Ross,1964-09-03,M,M,70000,0,Management,1,2,2749 Greenbush Drive,,258-555-0153,30/05/2019 00:00,28/06/2024
12093,300,Levi Chandra,1968-11-08,M,M,60000,1,Professional,1,2,5974 Sequoia Drive,,990-555-0126,08/05/2019 00:00,25/07/2024
12127,186,Grace Davis,1976-12-14,M,F,100000,3,Professional,1,4,"8188, rue Lamarck",,1 (11) 500 555-0178,13/05/2019 00:00,13/05/2024
12145,644,Brandon Butler,1985-10-04,M,M,100000,1,Professional,1,4,5979 Meadowbrook Drive,,120-555-0143,31/05/2019 00:00,03/07/2024
12148,548,Gabrielle Morris,1984-12-06,S,F,100000,2,Professional,1,0,8553 R St.,,458-555-0132,26/05/2019 00:00,02/07/2024
