ck,gk,name,bdate,ms,gender,income,childrenhome,occ,hof,nco,addr1,addr2,phone,datefirstpuchase,datelastpurchase
11188,361,Catherine Morris,1964-09-06,M,F,66000,1,Management,1,2,6542 Stonewood Drive,,111-1111-1111,04/05/2019 00:00,24/07/2024
11219,553,Charles Cook,1970-12-02,M,M,69000,1,Professional,1,2,6871 Bel Air Dr.,,755-555-0111,01/05/2019 00:00,27/07/2024
11085,345,Emily Johnson,1977-07-19,S,F,60000,0,Professional,0,2,7926 Stephanie Way,,850-555-0184,08/06/2019 00:00,11/07/2024
11130,543,Caroline Russell,2000-01-06,M,F,30000,0,Skilled Manual,1,2,3884 Bates Court,,424-555-0137,11/06/2019 00:00,11/06/2024
11354,119,Deanna Suarez,1962-02-23,M,F,20000,0,Manual,1,0,Dunckerstr 22525,,1 (11) 500 555-0146,05/06/2019 00:00,05/06/2024
11418,160,Rafael Hu,1965-02-09,S,M,90000,0,Professional,0,2,Zeiter Weg 7765,,1 (11) 500 555-0159,19/06/2019 00:00,19/06/2024
11437,190,Alfredo Moreno,1969-12-17,M,M,90000,1,Management,1,3,"882, rue Villedo",,1 (11) 500 555-0166,21/06/2019 00:00,21/06/2024
11487,186,Morgan Jones,1991-07-09,S,F,10000,0,Manual,0,2,"55, impasse Notre-Dame",,1 (11) 500 555-0155,17/06/2019 00:00,17/06/2024
11512,59,Natalie Campbell,1974-08-13,S,F,20000,0,Manual,1,2,3481 Broadmoor Drive,,178-555-0147,30/06/2019 00:00,30/06/2024
11543,201,Sheena Chande,1988-02-17,M,F,20000,1,Manual,1,1,"9, rue des Vendangeurs",,1 (11) 500 555-0178,23/06/2019 00:00,23/06/2024
11556,271,Lucas Evans,1987-05-14,M,M,20000,1,Manual,1,1,3663 A St.,,1 (11) 500 555-0153,23/06/2019 00:00,23/06/2024
11558,276,Ivan Malhotra,1987-08-22,S,M,30000,1,Clerical,0,0,5086 Nottingham Place,,1 (11) 500 555-0198,02/06/2019 00:00,02/06/2024
11559,161,Frederick Subram,1987-12-16,S,M,30000,1,Clerical,0,1,Rotthäuser Weg 636,,1 (11) 500 555-0111,01/06/2019 00:00,01/06/2024
11560,248,Whitney Srini,1987-08-13,S,F,30000,1,Clerical,0,1,7341 Rockne Drive,,1 (11) 500 555-0115,05/06/2019 00:00,05/06/2024
11608,217,Cesar Madan,1996-03-04,S,M,20000,0,Manual,0,1,"774, rue Descartes",,1 (11) 500 555-0157,15/06/2019 00:00,15/06/2024
11668,300,Jada Collins,1987-09-07,S,F,70000,2,Skilled Manual,1,1,1978 Medina Dr.,,169-555-0194,18/06/2019 00:00,07/07/2024
11715,361,Chloe Robinson,1982-09-21,M,F,70000,0,Skilled Manual,1,1,6779 Willcrest Circle,,570-555-0117,28/06/2019 00:00,02/07/2024
11801,536,Aaron Sharma,1989-09-16,M,M,60000,0,Professional,1,0,4073 Niagara Court,,500-555-0177,14/06/2019 00:00,03/07/2024
11856,539,Seth Hernandez,1983-08-17,M,M,60000,2,Professional,1,0,4107 St. Raphael Drive,,195-555-0146,01/06/2019 00:00,03/07/2024
