ck,gk,name,bdate,ms,gender,income,childrenhome,occ,hof,nco,addr1,addr2,phone,datefirstpuchase,datelastpurchase
11188,361,Catherine Morris,06/09/1964,M,F,70000,1,Management,1,2,6542 Stonewood Drive,,111-1111-1111,04/05/2019 00:00,24/07/2024
11487,186,Morgan Jones,09/07/1991,S,F,20000,0,Manual,1,2,"15, rue Philibert-Delorme",,1 (11) 500 555-0155,17/06/2019,17/06/2024
11051,21,Daniel Johnson,04/08/1971,S,M,30000,0,Skilled Manual,0,2,8085 Sunnyvale Avenue,,1 (11) 500 555-0155,01/07/2019,04/07/2024
11133,542,Angela Griffin,08/09/2000,S,F,30000,0,Clerical,0,2,3828 Baltic Sea Ct,,598-555-0174,02/07/2019,02/07/2024
11349,134,Mindy Luo,03/09/1974,M,F,10000,0,Manual,1,1,Brunnenstr 7566,Verkaufsabteilung,1 (11) 500 555-0194,16/07/2019,16/07/2024
11383,206,Marie Gill,28/08/1980,M,F,30000,0,Clerical,1,0,"571, rue Malar",,1 (11) 500 555-0192,04/07/2019,04/07/2024
11435,168,Robin Romero,06/03/1970,S,F,100000,4,Management,1,4,Hüttenstr 9995,,1 (11) 500 555-0168,07/07/2019,07/07/2024
11441,192,Erika Gomez,12/06/1967,M,F,90000,0,Skilled Manual,0,2,"2, place Beaubernard",,1 (11) 500 555-0155,11/07/2019,11/07/2024
11552,135,Eddie Rubio,27/05/1987,S,M,20000,1,Manual,0,1,Heiderplatz 662,,1 (11) 500 555-0159,09/07/2019,09/07/2024
11585,231,Kari Perez,08/03/1985,M,F,40000,0,Skilled Manual,1,0,6124 Clayton Road,,1 (11) 500 555-0192,13/07/2019,13/07/2024
11595,117,Sebastian Howard,02/07/1999,S,M,20000,5,Manual,1,3,Höhenstr 9419,,1 (11) 500 555-0112,02/07/2019,02/07/2024
11597,225,Janelle Chandra,06/02/1998,S,F,30000,3,Clerical,1,2,"25, avenue de la Gare",,1 (11) 500 555-0161,08/07/2019,08/07/2024
11733,311,Kristi Schmidt,27/07/1979,M,F,60000,0,Skilled Manual,1,1,1536 Camino Verde Ct.,,995-555-0114,04/07/2019,10/07/2024
11786,634,Ian Murphy,13/09/1992,S,M,60000,0,Skilled Manual,1,0,2391 St. Peter Court,,754-555-0141,01/07/2019,26/07/2024
